date,winner,venue,first_team,second_team,first_runs,first_balls,first_overs,second_runs,second_balls,second_overs,net_run_rate
2015-07-25,Afghanistan,Dublin,Oman,Afghanistan,127,120,20,130,113,18.5,
2015-10-26,Afghanistan,Bulawayo,Zimbabwe,Afghanistan,153,120,20,154,115,19.1,
2015-10-28,Afghanistan,Bulawayo,Zimbabwe,Afghanistan,190,120,20,191,120,19.5,
2015-11-28,Hong Kong,Abu Dhabi,Afghanistan,Hong Kong,162,120,20,166,118,19.4,
2015-11-29,Afghanistan,Abu Dhabi,Afghanistan,Oman,159,120,20,132,109,18.1,
2015-11-30,Afghanistan,Abu Dhabi,Afghanistan,Oman,160,120,20,148,120,20,
2016-01-08,Afghanistan,Sharjah,Afghanistan,Zimbabwe,187,120,20,182,120,20,
2016-01-10,Afghanistan,Sharjah,Afghanistan,Zimbabwe,215,120,20,134,109,18.1,
2016-02-19,United Arab Emirates,Fatullah,United Arab Emirates,Afghanistan,176,120,20,160,116,19.5,
2016-02-20,Afghanistan,Fatullah,Oman,Afghanistan,164,120,20,168,114,19.3,
2016-02-22,Afghanistan,Mirpur,Afghanistan,Hong Kong,178,120,20,112,102,17.1,
2016-03-08,Afghanistan,Nagpur,Afghanistan,Scotland,170,120,20,156,102,20,
2016-03-10,Afghanistan,Nagpur,Hong Kong,Afghanistan,116,120,20,119,108,18,
2016-03-12,Afghanistan,Nagpur,Afghanistan,Zimbabwe,186,120,20,127,118,19.4,
2016-03-17,Sri Lanka,Eden Gardens,Afghanistan,Sri Lanka,153,120,20,155,112,18.5,
2016-03-20,South Africa,Wankhede,South Africa,Afghanistan,209,120,20,172,120,20,
2016-03-23,England,Delhi,England,Afghanistan,142,120,20,127,120,20,
2016-03-27,Afghanistan,Nagpur,Afghanistan,West Indies,123,120,20,117,120,20,
2016-12-14,Afghanistan,ICCA Dubai,Afghanistan,United Arab Emirates,161,120,20,150,120,20,
2016-12-16,Afghanistan,Dubai (DICS),United Arab Emirates,Afghanistan,179,120,20,183,114,19.4,
2016-12-18,Afghanistan,ICCA Dubai,Afghanistan,United Arab Emirates,189,120,20,145,120,20,
2017-01-14,Afghanistan,Abu Dhabi,Ireland,Afghanistan,125,120,20,126,105,18.4,
2017-01-16,Afghanistan,Abu Dhabi,United Arab Emirates,Afghanistan,146,120,20,147,104,18.5,
2017-01-20,Afghanistan,Dubai (DICS),Oman,Afghanistan,149,120,20,150,110,18.3,
2017-01-20,Afghanistan,Dubai (DICS),Ireland,Afghanistan,71,80,13.2,75,48,7.5,
2017-03-08,Afghanistan,Greater Noida,Ireland,Afghanistan,165,120,20,171,108,18,
2017-03-10,Afghanistan,Greater Noida,Afghanistan,Ireland,184,120,20,93,65,11,
2017-03-12,Afghanistan,Greater Noida,Afghanistan,Ireland,233,120,20,205,115,19.2,
2017-06-02,West Indies,Basseterre,Afghanistan,West Indies,110,120,20,114,99,16.3,
2017-06-03,West Indies,Basseterre,West Indies,Afghanistan,112,90,15,93,81,13.3,
